seed,pathway_type,stage,mean_in_stage,median_in_stage,peak_in_stage
1013,BASELINE,biopmdt_to_biopsy,5.926027397260274,6.0,11
1013,BASELINE,biopsy_to_pathrep,1.7178082191780821,2.0,5
1013,BASELINE,mri_to_report,2.6356164383561644,2.0,8
1013,BASELINE,pathrep_to_treatmdt,1.747945205479452,1.0,7
1013,BASELINE,ref_to_mri,9.682191780821919,9.0,19
1013,BASELINE,report_to_biopmdt,1.9397260273972603,2.0,6
1013,BASELINE,treatmdt_to_outpat,1.63013698630137,1.0,6
1013,PROSTAD,biopmdt_to_biopsy,5.293150684931507,6.0,9
1013,PROSTAD,biopsy_to_pathrep,1.9315068493150684,2.0,6
1013,PROSTAD,mri_to_report,0.33972602739726027,0.0,4
1013,PROSTAD,pathrep_to_treatmdt,1.6383561643835616,2.0,7
1013,PROSTAD,ref_to_mri,1.2301369863013698,1.0,6
1013,PROSTAD,report_to_biopmdt,0.0,0.0,0
1013,PROSTAD,treatmdt_to_outpat,1.5863013698630137,2.0,7
1014,BASELINE,biopmdt_to_biopsy,5.942465753424657,6.0,12
1014,BASELINE,biopsy_to_pathrep,1.4575342465753425,1.0,6
1014,BASELINE,mri_to_report,2.627397260273973,2.0,9
1014,BASELINE,pathrep_to_treatmdt,1.7013698630136986,2.0,5
1014,BASELINE,ref_to_mri,8.558904109589042,9.0,16
1014,BASELINE,report_to_biopmdt,1.819178082191781,2.0,8
1014,BASELINE,treatmdt_to_outpat,1.2986301369863014,1.0,5
1014,PROSTAD,biopmdt_to_biopsy,4.646575342465753,5.0,10
1014,PROSTAD,biopsy_to_pathrep,1.5232876712328767,1.0,6
1014,PROSTAD,mri_to_report,0.34794520547945207,0.0,4
1014,PROSTAD,pathrep_to_treatmdt,1.2602739726027397,1.0,6
1014,PROSTAD,ref_to_mri,1.36986301369863,1.0,6
1014,PROSTAD,report_to_biopmdt,0.0,0.0,0
1014,PROSTAD,treatmdt_to_outpat,1.2821917808219179,1.0,4
1015,BASELINE,biopmdt_to_biopsy,5.021917808219178,5.0,13
1015,BASELINE,biopsy_to_pathrep,1.3808219178082193,1.0,7
1015,BASELINE,mri_to_report,2.4328767123287673,2.0,8
1015,BASELINE,pathrep_to_treatmdt,1.2575342465753425,1.0,5
1015,BASELINE,ref_to_mri,10.295890410958904,10.0,19
1015,BASELINE,report_to_biopmdt,1.978082191780822,2.0,8
1015,BASELINE,treatmdt_to_outpat,1.115068493150685,1.0,7
1015,PROSTAD,biopmdt_to_biopsy,7.304109589041096,7.0,15
1015,PROSTAD,biopsy_to_pathrep,2.5123287671232877,2.0,8
1015,PROSTAD,mri_to_report,0.42191780821917807,0.0,4
1015,PROSTAD,pathrep_to_treatmdt,2.1424657534246574,2.0,7
1015,PROSTAD,ref_to_mri,2.4465753424657533,2.0,10
1015,PROSTAD,report_to_biopmdt,0.0,0.0,0
1015,PROSTAD,treatmdt_to_outpat,2.147945205479452,2.0,7
1016,BASELINE,biopmdt_to_biopsy,5.221917808219178,5.0,11
1016,BASELINE,biopsy_to_pathrep,1.5068493150684932,1.0,6
1016,BASELINE,mri_to_report,2.4794520547945207,2.0,7
1016,BASELINE,pathrep_to_treatmdt,1.6794520547945206,2.0,6
1016,BASELINE,ref_to_mri,9.164383561643836,9.0,17
