scenario,seed,stage,mean_weekly_arrivals,peak_weekly_arrivals,std_weekly_arrivals,n_weeks,total_arrivals,mean_daily_arrivals,peak_daily_arrivals,mean_in_stage,peak_in_stage,total_completed,completion_ratio
ALL_MC_BASELINE,5,report_to_biopmdt,2.8043478260869565,6.0,1.5580552724098262,46,129,1.2647058823529411,3,0.0,0,129,1.0
ALL_MC_BASELINE,5,biopmdt_to_biopsy,2.135135135135135,5.0,1.0842857905901357,37,79,1.196969696969697,3,5.808219178082192,13,70,0.8860759493670886
ALL_MC_BASELINE,5,biopsy_to_pathrep,1.794871794871795,4.0,0.7670684859113119,39,70,1.09375,2,1.6657534246575343,7,67,0.9571428571428572
ALL_MC_BASELINE,5,pathrep_to_treatmdt,1.9333333333333333,4.0,0.980265035707122,30,58,1.0740740740740742,2,1.663013698630137,7,54,0.9310344827586207
ALL_MC_BASELINE,5,treatmdt_to_outpat,1.6875,4.0,0.7803018439949604,32,54,1.0188679245283019,2,1.6657534246575343,5,53,0.9814814814814815
PROSTAD,5,ref_to_mri,2.6862745098039214,6.0,1.3926980444939436,51,137,1.2685185185185186,3,1.1726027397260275,6,132,0.9635036496350365
PROSTAD,5,mri_to_report,2.64,4.0,1.1385633625812157,50,132,2.64,4,0.36164383561643837,4,132,1.0
PROSTAD,5,report_to_biopmdt,2.64,4.0,1.1385633625812157,50,132,2.64,4,0.0,0,132,1.0
PROSTAD,5,biopmdt_to_biopsy,1.9787234042553192,4.0,0.9205235207567594,47,93,1.9787234042553192,4,7.126027397260274,16,87,0.9354838709677419
PROSTAD,5,biopsy_to_pathrep,2.230769230769231,5.0,1.1576186641808774,39,87,1.2985074626865671,3,1.9534246575342467,7,85,0.9770114942528736
PROSTAD,5,pathrep_to_treatmdt,1.8611111111111112,6.0,1.1251102238772057,36,67,1.1551724137931034,3,1.8246575342465754,9,63,0.9402985074626866
PROSTAD,5,treatmdt_to_outpat,2.1,5.0,1.0618786215460558,30,63,1.1454545454545455,3,1.8657534246575342,9,62,0.9841269841269841
ALL_MC_BASELINE,6,ref_to_mri,3.2549019607843137,6.0,1.5210935178995664,51,166,1.371900826446281,3,11.435616438356165,19,150,0.9036144578313253
