scenario,seed,event,count
ALL_MC_BASELINE,19,Path_report_outcome,77
ALL_MC_BASELINE,19,Treatment_options_MDT_occured,62
ALL_MC_BASELINE,19,Outpatient_appointment_occured,58
PROSTAD,19,referral_received,157
PROSTAD,19,mri_performed,150
PROSTAD,19,mri_report_ready,150
PROSTAD,19,MDT_occured,150
PROSTAD,19,biopsy_done,74
PROSTAD,19,Path_report_recieved,71
PROSTAD,19,Path_report_outcome,71
PROSTAD,19,Treatment_options_MDT_occured,55
PROSTAD,19,Outpatient_appointment_occured,54
ALL_MC_BASELINE,20,referral_received,126
ALL_MC_BASELINE,20,mri_performed,117
ALL_MC_BASELINE,20,mri_report_ready,116
ALL_MC_BASELINE,20,MDT_occured,116
ALL_MC_BASELINE,20,biopsy_done,69
ALL_MC_BASELINE,20,Path_report_recieved,68
ALL_MC_BASELINE,20,Path_report_outcome,68
ALL_MC_BASELINE,20,Treatment_options_MDT_occured,54
ALL_MC_BASELINE,20,Outpatient_appointment_occured,53
PROSTAD,20,referral_received,126
PROSTAD,20,mri_performed,118
PROSTAD,20,mri_report_ready,118
PROSTAD,20,MDT_occured,118
PROSTAD,20,biopsy_done,77
PROSTAD,20,Path_report_recieved,77
PROSTAD,20,Path_report_outcome,77
PROSTAD,20,Treatment_options_MDT_occured,66
PROSTAD,20,Outpatient_appointment_occured,63
