scenario,seed,resource,mean_queue_len,peak_queue_len,mean_wait,peak_wait,n_wait_observations
ALL_MC_BASELINE,14,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,14,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,14,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,14,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,14,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,14,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,14,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,14,MRI,1.8767123287671232,8,4.537414965986395,14,147
PROSTAD,14,Biopsy,0.0,0,0.0,0,0
PROSTAD,14,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,14,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,14,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,14,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,14,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,15,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,15,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,15,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,15,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,15,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,15,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,15,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,15,MRI,1.652054794520548,7,3.966887417218543,14,151
PROSTAD,15,Biopsy,0.0,0,0.0,0,0
PROSTAD,15,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,15,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,15,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,15,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,15,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,16,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,16,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,16,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,16,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,16,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,16,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,16,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,16,MRI,2.441095890410959,9,5.42948717948718,15,156
PROSTAD,16,Biopsy,0.0,0,0.0,0,0
PROSTAD,16,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,16,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,16,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,16,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,16,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,17,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,17,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,17,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,17,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,17,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,17,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,17,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,17,MRI,1.1945205479452055,6,3.267175572519084,9,131
PROSTAD,17,Biopsy,0.0,0,0.0,0,0
PROSTAD,17,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,17,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,17,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,17,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,17,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,18,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,18,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,18,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,18,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,18,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,18,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,18,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,18,MRI,1.7945205479452055,8,4.412162162162162,14,148
PROSTAD,18,Biopsy,0.0,0,0.0,0,0
PROSTAD,18,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,18,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,18,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,18,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,18,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,19,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,19,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,19,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,19,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,19,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,19,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,19,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,19,MRI,1.7506849315068493,7,4.246666666666667,10,150
PROSTAD,19,Biopsy,0.0,0,0.0,0,0
PROSTAD,19,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,19,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,19,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,19,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,19,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,20,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,20,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,20,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,20,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,20,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,20,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,20,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,20,MRI,1.0438356164383562,4,3.1779661016949152,7,118
PROSTAD,20,Biopsy,0.0,0,0.0,0,0
PROSTAD,20,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,20,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,20,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,20,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,20,OUTPATIENT,0.0,0,0.0,0,0
