week_start,weekly_arrivals,scenario,seed,stage
2026-06-22,7,OBS_MIX,19,pathrep_to_treatmdt
2026-06-29,6,OBS_MIX,19,pathrep_to_treatmdt
2026-07-06,2,OBS_MIX,19,pathrep_to_treatmdt
2026-07-13,3,OBS_MIX,19,pathrep_to_treatmdt
2026-07-20,5,OBS_MIX,19,pathrep_to_treatmdt
2026-07-27,6,OBS_MIX,19,pathrep_to_treatmdt
2026-08-03,2,OBS_MIX,19,pathrep_to_treatmdt
2026-08-10,4,OBS_MIX,19,pathrep_to_treatmdt
2026-08-17,6,OBS_MIX,19,pathrep_to_treatmdt
2026-08-24,4,OBS_MIX,19,pathrep_to_treatmdt
2026-08-31,4,OBS_MIX,19,pathrep_to_treatmdt
2026-09-07,5,OBS_MIX,19,pathrep_to_treatmdt
2026-09-14,4,OBS_MIX,19,pathrep_to_treatmdt
2026-09-21,3,OBS_MIX,19,pathrep_to_treatmdt
2026-09-28,5,OBS_MIX,19,pathrep_to_treatmdt
2026-10-05,4,OBS_MIX,19,pathrep_to_treatmdt
2026-10-12,6,OBS_MIX,19,pathrep_to_treatmdt
2026-10-19,4,OBS_MIX,19,pathrep_to_treatmdt
2026-10-26,4,OBS_MIX,19,pathrep_to_treatmdt
2026-11-02,6,OBS_MIX,19,pathrep_to_treatmdt
2026-11-09,3,OBS_MIX,19,pathrep_to_treatmdt
2026-11-16,2,OBS_MIX,19,pathrep_to_treatmdt
2026-11-23,4,OBS_MIX,19,pathrep_to_treatmdt
2026-11-30,5,OBS_MIX,19,pathrep_to_treatmdt
2026-12-07,3,OBS_MIX,19,pathrep_to_treatmdt
2026-12-14,4,OBS_MIX,19,pathrep_to_treatmdt
2026-12-21,1,OBS_MIX,19,pathrep_to_treatmdt
2026-12-28,8,OBS_MIX,19,pathrep_to_treatmdt
2027-01-04,1,OBS_MIX,19,pathrep_to_treatmdt
2026-02-16,1,OBS_MIX,19,treatmdt_to_outpat
2026-03-02,1,OBS_MIX,19,treatmdt_to_outpat
2026-03-09,1,OBS_MIX,19,treatmdt_to_outpat
2026-03-16,3,OBS_MIX,19,treatmdt_to_outpat
2026-03-23,2,OBS_MIX,19,treatmdt_to_outpat
2026-03-30,2,OBS_MIX,19,treatmdt_to_outpat
