scenario,stage,week_start,weekly_arrivals_mean,weekly_arrivals_std
ALL_BASELINE,ref_to_mri,2026-11-23,8.65,3.013565819319104
ALL_BASELINE,ref_to_mri,2026-11-30,8.15,3.5433406776507868
ALL_BASELINE,ref_to_mri,2026-12-07,9.25,2.6729640555206244
ALL_BASELINE,ref_to_mri,2026-12-14,8.6,2.5422741580594415
ALL_BASELINE,ref_to_mri,2026-12-21,8.75,2.692582403567252
ALL_BASELINE,ref_to_mri,2026-12-28,9.25,3.891623933797466
ALL_BASELINE,ref_to_mri,2027-01-04,2.125,1.3102162671355697
ALL_BASELINE,report_to_biopmdt,2026-01-19,1.8333333333333333,1.0298573010888745
ALL_BASELINE,report_to_biopmdt,2026-01-26,3.3157894736842106,1.4549773415168654
ALL_BASELINE,report_to_biopmdt,2026-02-02,6.05,2.3502519461807316
ALL_BASELINE,report_to_biopmdt,2026-02-09,6.85,1.814415956487898
ALL_BASELINE,report_to_biopmdt,2026-02-16,8.05,2.6452539426400317
ALL_BASELINE,report_to_biopmdt,2026-02-23,8.0,2.8837110593268895
ALL_BASELINE,report_to_biopmdt,2026-03-02,8.25,2.8631046821680535
ALL_BASELINE,report_to_biopmdt,2026-03-09,8.05,3.1867323637065503
ALL_BASELINE,report_to_biopmdt,2026-03-16,8.1,3.2751054623437224
ALL_BASELINE,report_to_biopmdt,2026-03-23,9.05,3.170173496829472
ALL_BASELINE,report_to_biopmdt,2026-03-30,9.5,3.170588522490323
ALL_BASELINE,report_to_biopmdt,2026-04-06,8.3,2.494203807145468
ALL_BASELINE,report_to_biopmdt,2026-04-13,7.7,2.364206776957237
ALL_BASELINE,report_to_biopmdt,2026-04-20,9.0,3.244428422615251
ALL_BASELINE,report_to_biopmdt,2026-04-27,8.3,2.3642067769572366
ALL_BASELINE,report_to_biopmdt,2026-05-04,8.3,2.8488224714229227
ALL_BASELINE,report_to_biopmdt,2026-05-11,8.85,3.3603727863375354
ALL_BASELINE,report_to_biopmdt,2026-05-18,9.5,3.4716900176927328
ALL_BASELINE,report_to_biopmdt,2026-05-25,9.6,2.5214866124653734
ALL_BASELINE,report_to_biopmdt,2026-06-01,7.9,3.076224617081276
ALL_BASELINE,report_to_biopmdt,2026-06-08,9.45,3.1867323637065503
ALL_BASELINE,report_to_biopmdt,2026-06-15,7.6,3.1187041843486347
ALL_BASELINE,report_to_biopmdt,2026-06-22,8.7,2.903718124640961
ALL_BASELINE,report_to_biopmdt,2026-06-29,8.45,2.9285347512832565
ALL_BASELINE,report_to_biopmdt,2026-07-06,9.35,2.580799549711189
ALL_BASELINE,report_to_biopmdt,2026-07-13,9.5,2.9468984587725098
