scenario,seed,stage,mean_wait_days,median_wait_days,p90_wait_days
ALL_PROSTAD,10,biopsy_to_pathrep,8.834782608695653,7.0,16.0
ALL_PROSTAD,10,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,10,ref_to_mri,91.38541666666667,95.5,154.0
ALL_PROSTAD,10,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,10,treatmdt_to_outpat,11.634408602150538,12.0,26.0
ALL_BASELINE,11,biopsy_to_pathrep,8.203296703296703,7.0,14.0
ALL_BASELINE,11,mri_to_report,7.647058823529412,7.0,15.0
ALL_BASELINE,11,ref_to_mri,24.11764705882353,22.0,41.10000000000002
ALL_BASELINE,11,report_to_biopmdt,5.173529411764706,6.0,8.0
ALL_BASELINE,11,treatmdt_to_outpat,10.960264900662251,12.0,13.0
OBS_MIX,11,biopsy_to_pathrep,8.153005464480874,7.0,14.0
OBS_MIX,11,mri_to_report,4.472779369627507,1.0,11.0
OBS_MIX,11,ref_to_mri,22.630372492836678,24.0,34.0
OBS_MIX,11,report_to_biopmdt,2.4727793696275073,0.0,7.0
OBS_MIX,11,treatmdt_to_outpat,10.967105263157896,12.0,13.0
ALL_PROSTAD,11,biopsy_to_pathrep,7.666666666666667,7.0,13.0
ALL_PROSTAD,11,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,11,ref_to_mri,77.80526315789474,75.0,148.0
ALL_PROSTAD,11,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,11,treatmdt_to_outpat,11.341463414634147,12.0,24.700000000000074
ALL_BASELINE,12,biopsy_to_pathrep,8.696078431372548,7.0,15.700000000000017
ALL_BASELINE,12,mri_to_report,7.117808219178082,7.0,14.0
ALL_BASELINE,12,ref_to_mri,23.613698630136987,22.0,37.0
ALL_BASELINE,12,report_to_biopmdt,5.328767123287672,6.0,8.0
ALL_BASELINE,12,treatmdt_to_outpat,10.810126582278482,11.0,13.0
OBS_MIX,12,biopsy_to_pathrep,8.677884615384615,7.0,15.300000000000011
OBS_MIX,12,mri_to_report,3.807588075880759,1.0,10.0
OBS_MIX,12,ref_to_mri,20.466124661246614,20.0,30.0
OBS_MIX,12,report_to_biopmdt,2.5013550135501355,0.0,7.0
OBS_MIX,12,treatmdt_to_outpat,10.825,12.0,13.0
ALL_PROSTAD,12,biopsy_to_pathrep,8.054545454545455,7.0,14.100000000000009
ALL_PROSTAD,12,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,12,ref_to_mri,92.23560209424083,89.0,168.0
ALL_PROSTAD,12,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,12,treatmdt_to_outpat,10.963855421686747,10.0,23.399999999999963
ALL_BASELINE,13,biopsy_to_pathrep,8.653658536585366,7.0,16.0
ALL_BASELINE,13,mri_to_report,7.397435897435898,7.0,14.0
ALL_BASELINE,13,ref_to_mri,24.756410256410255,23.0,38.30000000000007
ALL_BASELINE,13,report_to_biopmdt,5.153846153846154,6.0,8.0
ALL_BASELINE,13,treatmdt_to_outpat,10.166666666666666,12.0,12.900000000000006
OBS_MIX,13,biopsy_to_pathrep,8.653658536585366,7.0,16.0
OBS_MIX,13,mri_to_report,4.104166666666667,1.0,11.0
OBS_MIX,13,ref_to_mri,31.2578125,32.0,47.0
OBS_MIX,13,report_to_biopmdt,2.5963541666666665,0.0,7.0
OBS_MIX,13,treatmdt_to_outpat,10.166666666666666,12.0,12.900000000000006
ALL_PROSTAD,13,biopsy_to_pathrep,8.787878787878787,8.0,16.0
ALL_PROSTAD,13,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,13,ref_to_mri,102.12234042553192,105.5,176.50000000000006
ALL_PROSTAD,13,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,13,treatmdt_to_outpat,10.226190476190476,12.0,13.0
ALL_BASELINE,14,biopsy_to_pathrep,8.579710144927537,7.0,16.0
ALL_BASELINE,14,mri_to_report,7.10594315245478,7.0,14.0
ALL_BASELINE,14,ref_to_mri,24.217054263565892,21.0,41.400000000000034
ALL_BASELINE,14,report_to_biopmdt,5.268733850129199,6.0,8.0
ALL_BASELINE,14,treatmdt_to_outpat,10.403726708074535,12.0,12.0
OBS_MIX,14,biopsy_to_pathrep,8.55026455026455,7.0,16.0
OBS_MIX,14,mri_to_report,4.334261838440112,1.0,11.0
OBS_MIX,14,ref_to_mri,25.20891364902507,21.0,47.0
OBS_MIX,14,report_to_biopmdt,2.632311977715877,0.0,8.0
OBS_MIX,14,treatmdt_to_outpat,10.27027027027027,12.0,12.300000000000011
ALL_PROSTAD,14,biopsy_to_pathrep,8.141414141414142,7.0,15.200000000000003
ALL_PROSTAD,14,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,14,ref_to_mri,89.84895833333333,84.0,161.0
ALL_PROSTAD,14,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,14,treatmdt_to_outpat,11.0,12.0,13.0
ALL_BASELINE,15,biopsy_to_pathrep,8.286343612334802,7.0,15.0
ALL_BASELINE,15,mri_to_report,7.711340206185567,8.0,14.300000000000011
ALL_BASELINE,15,ref_to_mri,24.126288659793815,22.0,39.200000000000045
ALL_BASELINE,15,report_to_biopmdt,5.036082474226804,5.0,8.0
ALL_BASELINE,15,treatmdt_to_outpat,12.156424581005586,12.0,26.0
OBS_MIX,15,biopsy_to_pathrep,8.278761061946902,7.0,15.0
OBS_MIX,15,mri_to_report,4.582245430809399,1.0,11.0
OBS_MIX,15,ref_to_mri,24.475195822454307,24.0,40.0
OBS_MIX,15,report_to_biopmdt,2.7467362924281984,1.0,8.0
OBS_MIX,15,treatmdt_to_outpat,12.179775280898877,12.0,26.0
ALL_PROSTAD,15,biopsy_to_pathrep,8.495575221238939,7.0,16.0
ALL_PROSTAD,15,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,15,ref_to_mri,98.03743315508021,97.0,180.8
ALL_PROSTAD,15,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,15,treatmdt_to_outpat,12.41304347826087,12.0,26.0
ALL_BASELINE,16,biopsy_to_pathrep,8.393364928909953,7.0,15.0
ALL_BASELINE,16,mri_to_report,7.353424657534247,7.0,14.0
ALL_BASELINE,16,ref_to_mri,23.726027397260275,21.0,42.0
ALL_BASELINE,16,report_to_biopmdt,5.032876712328767,6.0,8.0
ALL_BASELINE,16,treatmdt_to_outpat,11.608187134502923,12.0,13.0
OBS_MIX,16,biopsy_to_pathrep,8.414285714285715,7.0,15.0
OBS_MIX,16,mri_to_report,4.652892561983471,1.0,12.0
OBS_MIX,16,ref_to_mri,23.079889807162534,21.0,43.0
OBS_MIX,16,report_to_biopmdt,2.5234159779614327,1.0,7.0
OBS_MIX,16,treatmdt_to_outpat,11.644970414201184,12.0,13.0
ALL_PROSTAD,16,biopsy_to_pathrep,8.431192660550458,7.0,15.0
ALL_PROSTAD,16,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,16,ref_to_mri,86.46195652173913,97.0,145.0
ALL_PROSTAD,16,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,16,treatmdt_to_outpat,10.932584269662922,12.0,13.0
ALL_BASELINE,17,biopsy_to_pathrep,8.452261306532664,7.0,15.0
ALL_BASELINE,17,mri_to_report,7.789757412398922,7.0,14.0
ALL_BASELINE,17,ref_to_mri,24.84366576819407,22.0,43.0
ALL_BASELINE,17,report_to_biopmdt,5.320754716981132,6.0,8.0
ALL_BASELINE,17,treatmdt_to_outpat,10.860759493670885,12.0,13.0
OBS_MIX,17,biopsy_to_pathrep,8.497435897435897,7.0,15.0
OBS_MIX,17,mri_to_report,4.153846153846154,1.0,12.0
OBS_MIX,17,ref_to_mri,25.662087912087912,25.0,43.0
OBS_MIX,17,report_to_biopmdt,2.489010989010989,0.0,7.0
OBS_MIX,17,treatmdt_to_outpat,10.903225806451612,12.0,13.0
ALL_PROSTAD,17,biopsy_to_pathrep,8.211538461538462,7.0,15.0
ALL_PROSTAD,17,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,17,ref_to_mri,89.66310160427807,90.0,161.4
ALL_PROSTAD,17,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,17,treatmdt_to_outpat,9.461538461538462,10.0,12.299999999999997
ALL_BASELINE,18,biopsy_to_pathrep,8.82741116751269,7.0,15.0
ALL_BASELINE,18,mri_to_report,7.113888888888889,7.0,13.0
ALL_BASELINE,18,ref_to_mri,25.02777777777778,22.0,43.0
ALL_BASELINE,18,report_to_biopmdt,5.216666666666667,6.0,8.0
ALL_BASELINE,18,treatmdt_to_outpat,10.892857142857142,12.0,13.0
OBS_MIX,18,biopsy_to_pathrep,8.895,7.0,15.0
OBS_MIX,18,mri_to_report,4.337950138504155,1.0,11.0
OBS_MIX,18,ref_to_mri,22.409972299168974,21.0,35.0
OBS_MIX,18,report_to_biopmdt,2.6177285318559558,0.0,7.0
OBS_MIX,18,treatmdt_to_outpat,10.864705882352942,12.0,13.0
ALL_PROSTAD,18,biopsy_to_pathrep,8.923076923076923,7.5,15.0
ALL_PROSTAD,18,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,18,ref_to_mri,92.92063492063492,89.0,168.0
ALL_PROSTAD,18,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,18,treatmdt_to_outpat,11.244186046511627,12.0,13.0
ALL_BASELINE,19,biopsy_to_pathrep,8.495238095238095,7.0,15.0
ALL_BASELINE,19,mri_to_report,7.026178010471204,7.0,13.900000000000034
ALL_BASELINE,19,ref_to_mri,23.335078534031414,21.0,38.0
ALL_BASELINE,19,report_to_biopmdt,5.154450261780105,6.0,8.0
